Solution,Type,Quarter,Before,During,After,Not_achieved_yet,Planned,Actual
PJ.10-01c,Review,Q1-2018,0,0,0,0,0,0
PJ.10-01c,Review,Q2-2018,0,0,0,0,0,0
PJ.10-01c,Review,Q3-2018,0,0,0,0,0,0
PJ.10-01c,Review,Q4-2018,0,0,0,0,0,0
PJ.10-01c,Review,Q1-2019,0,0,0,0,0,0
PJ.10-01c,Review,Q2-2019,0,0,0,0,0,0
PJ.10-01c,Review,Q3-2019,0,0,0,1,1,0
PJ.10-01c,Review,Q4-2019,0,0,0,0,0,0
PJ.10-02a,Deliverable,Q4-2016,0,0,0,0,0,0
PJ.10-02a,Deliverable,Q1-2017,0,0,0,0,0,0
PJ.10-02a,Deliverable,Q2-2017,0,0,0,0,0,0
PJ.10-02a,Deliverable,Q3-2017,0,1,0,1,2,1
PJ.10-02a,Deliverable,Q4-2017,0,0,0,4,4,0
PJ.10-02a,Deliverable,Q1-2018,0,0,0,1,1,0
PJ.10-02a,Deliverable,Q2-2018,0,0,0,3,3,0
PJ.10-02a,Deliverable,Q3-2018,0,0,0,3,3,0
PJ.10-02a,Deliverable,Q4-2018,0,0,0,4,4,0
PJ.10-02a,Deliverable,Q1-2019,0,0,0,3,3,0
PJ.10-02a,Deliverable,Q2-2019,0,0,0,2,2,0
PJ.10-02a,Deliverable,Q3-2019,0,0,0,4,4,0
PJ.10-02a,Deliverable,Q4-2019,0,0,0,0,0,0
PJ.10-02a,Milestone,Q4-2016,0,0,0,0,0,0
PJ.10-02a,Milestone,Q1-2017,0,0,0,0,0,0
PJ.10-02a,Milestone,Q2-2017,0,2,0,0,2,2
PJ.10-02a,Milestone,Q3-2017,0,1,0,2,3,1
PJ.10-02a,Milestone,Q4-2017,0,0,0,0,0,0
PJ.10-02a,Milestone,Q1-2018,0,0,0,3,3,0
PJ.10-02a,Milestone,Q2-2018,0,0,0,1,1,0
PJ.10-02a,Milestone,Q3-2018,0,0,0,0,0,0
PJ.10-02a,Milestone,Q4-2018,0,0,0,3,3,0
PJ.10-02a,Milestone,Q1-2019,0,0,0,2,2,0
PJ.10-02a,Milestone,Q2-2019,0,0,0,0,0,0
PJ.10-02a,Milestone,Q3-2019,0,0,0,0,0,0
PJ.10-02a,Milestone,Q4-2019,0,0,0,1,1,0
PJ.10-02a,Validation,Q4-2016,0,0,0,0,0,0
PJ.10-02a,Validation,Q1-2017,0,0,0,0,0,0
PJ.10-02a,Validation,Q2-2017,0,0,0,0,0,0
PJ.10-02a,Validation,Q3-2017,0,0,0,1,1,0
PJ.10-02a,Validation,Q4-2017,0,0,0,11,11,0
PJ.10-02a,Validation,Q1-2018,0,0,0,6,6,0
PJ.10-02a,Validation,Q2-2018,0,0,0,0,0,0
PJ.10-02a,Validation,Q3-2018,0,0,0,0,0,0
PJ.10-02a,Validation,Q4-2018,0,0,0,9,9,0
PJ.10-02a,Validation,Q1-2019,0,0,0,6,6,0
PJ.10-02a,Validation,Q2-2019,0,0,0,6,6,0
PJ.10-02a,Validation,Q3-2019,0,0,0,0,0,0
PJ.10-02a,Validation,Q4-2019,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q4-2016,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q1-2017,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q2-2017,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q3-2017,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q4-2017,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q1-2018,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q2-2018,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q3-2018,0,0,0,0,0,0
PJ.10-02a,Maturity_Gate,Q4-2018,0,0,0,1,1,0
PJ.10-02a,Maturity_Gate,Q1-2019,0,0,0,0,0,0
